Job Title,Company Name,Company Headquarters,Date Posted,Apply Deadline,Job Type,Job Category,Region,Salary,Tags,Company Description,Job Description,Job URL,Application URL,Company Profile URL,Company Logo URL,Company Total Jobs Posted
Claims Advocate / Paralegal,Chisholm Chisholm & Kilpatrick,"Providence, RI, US",Posted 1 hour ago,"Nov 27th, 2025",Full-Time,All Other Remote,N/A,"$43,775 per year","Featured, Full-Time, $25,000 - $48,999 USD, 🇺🇸 United States of America","Chisholm Chisholm & Kilpatrick (CCK) is a private, public-interest law firm offering rewarding work with a focus on disabled military veterans and their families, as well as a wide range of other individuals who have been denied life, health, and disability benefits.","Chisholm Chisholm & Kilpatrick (CCK) is a private, public-interest law firm offering rewarding work with a focus on disabled military veterans and their families, as well as a wide range of other individuals who have been denied life, health, and disability benefits. We are committed to building an inclusive team that reflects the diversity of our clients.




The Role:

We are seeking a Claims Advocate / Paralegal to join our growing Veterans Law practice. In this task-oriented and independent role, you will support case development by gathering information, drafting legal documents, conducting research, and preparing assessments. Success is measured by timeline, accurate task completion, and continuous development of knowledge in the practice area. 




Responsibilities:

Conduct research, review client files, and prepare assessments as directed concerning theories, strategy, and/or arguments in support of Agency clients’ cases
Draft development, claims, arguments, appeals, and motions for clients’ cases
Prioritize the completion of case core work and assignments, meet internal deadlines as set by Senior Claims Advocates, Lead Advocates, and management, and ensure that assignments are completed to meet external (i.e., VA) deadline
Conduct interviews and promptly draft corresponding declarations with clients and third parties (e.g., client family members, friends, employers) in support of their claims
Update CCK’s case management program files with all pertinent correspondence and information needed for reporting
Develop an understanding of pertinent case law, etc. for application in draft claims, arguments, and appeals
Attend training sessions
Coordinate with other Claims Advocates, Client Advocates, Senior Claims Advocates, and Lead Advocates as necessary to accomplish workload objectives
Complete all additional training as assigned by your supervisor
Assist team with the training of new Claims Advocates and Client Advocates as needed
Requirements
High School degree required; Bachelor's degree or equivalent experience in a related field preferred
2+ years of related experience and/or training; or equivalent combination of education and experience preferred but not required
Fluency in English; Bilingual in Spanish is a plus
Demonstrated leadership skills
Excellent written and verbal communication skills and the ability to communicate responsibly
Detail-oriented with the ability to prioritize tasks and meet deadlines
Ability to work well in a team-oriented environment
Proficiency with standard office equipment and software· Basic knowledge of Microsoft Office, Outlook and Adobe Acrobat



Compensation & Benefits:

Starting Salary: $43,775 per year. Relevant VA law experience (2+ years) may increase starting salary.
Opportunities for skills development and commensurate salary advancement.
Medical, Dental, and Vision coverage, including employer-paid medical insurance for employes
Gym membership reimbursement
15 days of PTO (increasing with tenure) plus 12 paid company holidays in 2025
401k matching
Paid Parental Leave



Work Location & Schedule:

Work Schedule: This is a full-time position, Monday through Friday. You may choose one of the following shifts: 8:00-4:30 pm ET or 8:30 – 5:00 pm ET with a 30-minute lunch period.
This role is available onsite at our Providence, RI Headquarters or remotely in the following states: CO, CT, FL, GA, MA, NJ, RI, SC, TX, UT; Rhode Island employees may choose a hybrid schedule.
Remote employees must maintain a professional workspace and reliable internet (minimum 30 Mbps upload speed)
Flexible scheduling may be available after six months, based on performance.



Later stages of the interview process include an assessment, internet speed test, and a reference check.




If you are passionate about assisting our Veterans Practice Group and providing high-quality service to our clients, we encourage you to apply for this exciting opportunity.",https://weworkremotely.com/remote-jobs/chisholm-chisholm-kilpatrick-claims-advocate-paralegal,See Job Description,https://weworkremotely.com/company/chisholm-chisholm-kilpatrick,https://we-work-remotely.imgix.net/logos/0171/2258/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,1
Freelance Writer,ProWriterSites,New York,Posted 3 days ago,"Nov 24th, 2025",Contract,All Other Remote,Anywhere in the World,$75,"Featured, Contract, Anywhere in the World",ProWriterSites is a highly-rated portfolio design and hosting service for freelancers. We strive to make professional portfolio websites easy and affordable for all. We are a distributed team of remote professionals based all around the world with one common goal; to help freelancers elevate their careers and online presence.,"ProWriterSites is a highly-rated professional portfolio design and hosting service catering to freelancers. Our mission is to make professional portfolio websites easy and affordable to all freelancers. 


Will you help us help thousands of freelancers elevate their careers and online presence? 


About the Role:


As a content writer, you'll play a pivotal role in shaping the voice and messaging across our platform and marketing channels. Your words will inspire freelancers to dream big and trust in our service to showcase their talents. This role is ideal for someone who thrives in a creative, fast-paced environment and is passionate about storytelling, branding, and the freelance lifestyle.


Key Responsibilities:


- Develop, write, and edit content for website pages, blog posts, email campaigns, and social media that resonates with our target audience of freelance professionals.
- Edit and proofread content with a keen eye for detail, ensuring high-quality and consistency across all platforms.


What We Offer:


- A fully remote role with flexible working hours to suit your lifestyle.
- Competitive salary and performance-based bonuses.
- Opportunities for professional growth and creative freedom.
- A supportive and collaborative work environment that values new ideas and innovation.


Compensation:


We would like to engage with a skilled content writer on a per-project or hourly basis of $75-80 per hour, however, our ultimate goal is to bring on a full-time copywriter for a $75K to $100K annual salaried role.",https://weworkremotely.com/remote-jobs/prowritersites-freelance-writer,See Job Description,https://weworkremotely.com/company/prowritersites,https://we-work-remotely.imgix.net/logos/0141/5059/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
AI Trainer,Anuttacon,"Mountain View, CA",Posted 12 days ago,"Nov 15th, 2025",Contract,All Other Remote,Anywhere in the World,"$20 - $30,","Featured, Contract, Anywhere in the World","Anuttacon is an independent research lab pursuing humanistic general intelligence that you can experience in every real-time interaction—seamlessly understanding and expressing through text, voice, visuals and beyond.

We see AI and humans as equal partners in virtual world creation and discovery. Our mission is to build multimodal AI with genuine emotional understanding and expressive communication—technology that not only thinks but feels, connecting with you authentically through rich, nuanced interactions that enhance your experience.","About Us:

Anuttacon’s mission is to create immersive and personalized virtual worlds where players can form unique connections and deeper experiences in digital spaces. We are dedicated to leveraging different perspectives, voices, and backgrounds to promote a thoughtful and humanistic approach to technology. Through research-driven and explorative AI, we aim to create real-time interactions that seamlessly blend text, audio, visuals and beyond.

About the Role:

We’re looking for individuals with diverse expertise to join our data team as AI Trainers. In this role, you will directly be involved in improving the accuracy and performance of our models. 

Responsibilities:

Annotate game content such as dialogues, quests, and character interactions

Utilize data evaluation tools to complete tasks through Verity Lab

Optimize player experiences through analyzing and providing insight on world building, comprehensive characters, mini-plots, personality profiles, and various topics

Collaborate with our AI research and product teams remotely to develop authentic and creative large language models 

About you:

Native or Fluent in English

Strong attention to detail and a commitment to producing high-quality work 

Comfortable learning new tools and software quickly

Ability to follow complex guidelines and apply them consistently

Communicate feedback clearly and professionally

Preferred:

Prior experience or strong interest in AI data, data annotation, or related fields 

Background or related experience in the following areas:

Storytelling, creative writing, copywriting, or content development

English, communications, or new media

Psychology, philosophy, or other fields focused on human behavior and thought

Game design or game development

STEM disciplines with a strong emphasis on clarity and structure

Compensation & other expectations:

Hourly rate: $20 - $30, depending on your role and qualifications. Compensation varies based on location and experience. International rates will differ.

Able to dedicate 20-40+ flexible hours per week based on your availability

There will be exciting opportunities for bonus and growth!

How to Apply:

Please complete the following assessment. The introductory questions will gather basic information about your location, work background, and experience before the screener begins: 

Humanize (LLM) Assessment 

Please be advised that the screeners will test varying levels of skill, so do not feel discouraged if a few of the questions are difficult. Based on your areas of interest or expertise, you can complete one or more assessments to start, or can change projects after you’re onboarded.

Audio Assessment

Video Assessment (General)

Video Assessment (Understanding)

Writing Assessment

We are eager to connect with candidates who have a passion for gaming, especially those experienced in narrative games. If this resonates with you, we’d love to hear from you!",https://weworkremotely.com/remote-jobs/anuttacon-ai-trainer,See Job Description,https://weworkremotely.com/company/anuttacon,https://we-work-remotely.imgix.net/logos/0171/1264/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
QA Engineer,Interviews Chat,"Warsaw, Poland",Posted 5 days ago,"Nov 23th, 2025",Full-Time,All Other Remote,Anywhere in the World,N/A,"Featured, Full-Time, $50,000 - $74,999 USD, Anywhere in the World","Interviews Chat is your AI-powered Interview Copilot for job interviews. We help candidates prep smarter and perform better with real-time answers and tailored feedback. Whether it’s a behavioral round or a live coding challenge, our tools are designed to give job seekers an edge—confidently, ethically, and in over 30 languages.

We’re growing fast and backed by thousands of users who rely on us to land their next role. Join us in reshaping how the world prepares for interviews.","About Interviews Chat

Interviews Chat is an AI platform that helps people ace their job interviews. Our Interview Copilot listens to live meetings (Zoom, Google Meet, Teams, etc.) and provides real-time answers and suggestions, while Interview Prep generates tailored practice questions. We’re scaling fast, trusted by thousands of professionals worldwide, and building new products (Chrome extension, mobile app, desktop app) to reach even more users.

The Role

We’re looking for a QA Engineer to make sure our products are reliable, smooth, and bug-free. You’ll test across multiple platforms (web, Chrome extension, desktop app, mobile app), set up testing frameworks, and work directly with developers to catch issues before they reach users.

What You’ll Do

Test new features and bug fixes across web, extension, desktop, and mobile apps.

Create and maintain test plans, test cases, and regression suites.

Reproduce, document, and track bugs clearly.

Collaborate closely with developers and product team to ensure quality releases.

(Bonus) Automate repetitive test cases with tools like Cypress, Playwright, or Selenium.

What We’re Looking For

Experience in software testing (manual or automated).

Strong attention to detail and ability to break things in creative ways.

Experience testing across browsers and devices.

Familiarity with Chrome extensions, desktop apps (Electron), or mobile apps is a plus.

Good written communication in English for reporting issues.

Bonus: experience with automated test frameworks and CI pipelines.

What We Offer

100% remote work with flexible hours.

Competitive salary (depending on experience).

Direct impact on a growing AI startup.

Small team, fast feedback loop, no bureaucracy.

Chance to shape QA processes from the ground up.",https://weworkremotely.com/remote-jobs/interviews-chat-qa-engineer,See Job Description,https://weworkremotely.com/company/interviews-chat,https://we-work-remotely.imgix.net/logos/0171/0344/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,3
AI Trainer,Anuttacon,"Mountain View, CA",Posted 16 days ago,"Nov 11th, 2025",Contract,All Other Remote,Anywhere in the World,"$20 - $30,","Featured, Contract, Anywhere in the World","Anuttacon is an independent research lab pursuing humanistic general intelligence that you can experience in every real-time interaction—seamlessly understanding and expressing through text, voice, visuals and beyond.

We see AI and humans as equal partners in virtual world creation and discovery. Our mission is to build multimodal AI with genuine emotional understanding and expressive communication—technology that not only thinks but feels, connecting with you authentically through rich, nuanced interactions that enhance your experience.","About Us:

Anuttacon’s mission is to create immersive and personalized virtual worlds where players can form unique connections and deeper experiences in digital spaces. We are dedicated to leveraging different perspectives, voices, and backgrounds to promote a thoughtful and humanistic approach to technology. Through research-driven and explorative AI, we aim to create real-time interactions that seamlessly blend text, audio, visuals and beyond.

About the Role:

We’re looking for individuals with diverse expertise to join our data team as AI Trainers. In this role, you will directly be involved in improving the accuracy and performance of our models. 

Responsibilities:

Annotate game content such as dialogues, quests, and character interactions

Utilize data evaluation tools to complete tasks through Verity Lab

Optimize player experiences through analyzing and providing insight on world building, comprehensive characters, mini-plots, personality profiles, and various topics

Collaborate with our AI research and product teams remotely to develop authentic and creative large language models 

About you:

Native or Fluent in English

Strong attention to detail and a commitment to producing high-quality work 

Comfortable learning new tools and software quickly

Ability to follow complex guidelines and apply them consistently

Communicate feedback clearly and professionally

Preferred:

Prior experience or strong interest in AI data, data annotation, or related fields 

Background or related experience in the following areas:

Storytelling, creative writing, copywriting, or content development

English, communications, or new media

Psychology, philosophy, or other fields focused on human behavior and thought

Game design or game development

STEM disciplines with a strong emphasis on clarity and structure

Compensation & other expectations:

Hourly rate: $20 - $30, depending on your role and qualifications. Compensation varies based on location and experience. International rates will differ.

Able to dedicate 20-40+ flexible hours per week based on your availability

There will be exciting opportunities for bonus and growth!

How to Apply:

Please complete the following assessment. The introductory questions will gather basic information about your location, work background, and experience before the screener begins: 

Humanize (LLM) Assessment 

Please be advised that the screeners will test varying levels of skill, so do not feel discouraged if a few of the questions are difficult. Based on your areas of interest or expertise, you can complete one or more assessments to start, or can change projects after you’re onboarded.

Audio Assessment

Video Assessment (General)

Video Assessment (Understanding)

Writing Assessment 

We are eager to connect with candidates who have a passion for gaming, especially those experienced in narrative games. If this resonates with you, we’d love to hear from you!",https://weworkremotely.com/remote-jobs/anuttacon-ai-trainer-1,See Job Description,https://weworkremotely.com/company/anuttacon,https://we-work-remotely.imgix.net/logos/0171/1264/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
Security Analyst for Infected Websites (Contract),"Defiant, Inc.","Seattle, WA",Posted 11 days ago,"Nov 16th, 2025",Contract,All Other Remote,Anywhere in the World,$35,"Featured, Contract, Anywhere in the World","Defiant is a small, dynamic, fast-growing, and profitable company with loyal customers who love our products and services. We are the global leader in WordPress security, protecting over 5 million websites.

You'll work with a talented and highly-motivated team that is friendly, fast-moving, self-managing, and highly capable with a sense of humor. Our team's family time is important; we won't typically require long hours when we can avoid it, which is almost always. Our entire team works remotely using Slack for casual interaction, ­so you can live practically anywhere in the World if you have an Internet connection. There's no micro-­management here—we trust that you will see tasks through to completion and communicate with your fellow team members when needed or ask for help when needed.

At Defiant, ‘trust’ is the attribute we value most highly among our team members. We need to know that you can grab a task, communicate clearly with stakeholders, and see the task to completion with superb attention to detail.

We use apps like Slack, FogBugz, GitHub, and Google Apps for our workflow.


What We Look For
A willingness to grab whatever task is required of you and run with it. This may include work outside of your core tasks. We are a small team and everyone needs to pitch in.
A high level of productivity and self-management.
Must be comfortable working remotely and interfacing with other team members using Slack and other remote tools.
Excellent analytical ability and problem solving skills.
A strong work ethic.
Effective communication skills. This is critical for remote workers and we can’t emphasize this enough. You will spend a significant amount of time interfacing with our customers and/or other team members through your keyboard and it’s critically important that you can effectively convey your thoughts.","We're seeking a Security Analyst to work on an hourly contract basis from your home office, with 100% availability during that time.

 

The following shifts are available:

Weekdays: Monday-Friday, 9:00 AM - 5:00 PM ET (40 hrs/wk)
Weekends: Saturday-Sunday, 11:00 AM - 7:00 PM ET (16 hrs/wk)

Candidates in regions where these hours strongly align with their normal business hours are encouraged to apply. You do not have to be based in the USA.

 

The contract rate for this role is $35+ USD per hour, depending on experience.

 

Job Description

We are looking for Security Analysts to join our Care and Response Team. You will assist our customers and investigate site intrusions, as well as repair their sites and remove all traces of compromise.

Additionally, you will collect and process evidence from intrusions that will help improve our threat detection. You will need to determine how the intrusion occurred, collect all IOCs (indicators of compromise), and work with our Threat Intelligence team on vulnerability research and malware signature development.

In your downtime, you will triage and validate vulnerability reports submitted through our Bug Bounty Program. You’ll assess impact to prioritize submissions, reproduce and analyze vulnerabilities in controlled environments, and identify root causes in source code. You will document findings, recommend fixes or custom firewall rules, and propose bounty amounts based on severity and impact.

You will collaborate with developers, customer support, and disclosure teams, as well as validate that patches are sufficient once released.

General requirements:

Highly technical and comfortable with a wide range of open source tools such as grep, find, etc
Excellent written and verbal communication skills.
Ability to interact with customers professionally.
Work well in a team and work independently without additional guidance.
Excellent analytical ability, ability to think outside of the box, and an eagerness to learn. 
Must have attention to detail.

The specific skills we require for this position are:

3+ years of experience with WordPress required.
Technical experience with common web application based vulnerabilities in WordPress plugins and themes.
A solid understanding of WordPress hooks, how they are used, and how they can lead to vulnerabilities.
Experience with administering multiple Linux stacks. (We don’t support Windows.)
Experience with MySQL.
2+ years of experience conducting remediation of compromised websites, including analysis of how the intrusion occurred, removing the intrusion vector, and restoring the site to a fully functional state.
Experience in vulnerability research is a plus, which includes:
Ability to develop proof of concepts programmatically or conceptually to test the exploitability of vulnerabilities, and the general ability to read/understand programmatic and conceptual proof of concepts.
Ability to replicate the exploitability of vulnerabilities in a test environment.
Ability to review source code changes to determine if a vulnerability was patched and what the patch was for.
Experience generating/modifying HTTP requests.
Experience working with BURP suite or similar proxy software and a PHP debugger.
A solid understanding of regular expressions. Must be able to write expressions on the fly to match and remove only malicious code (often polymorphic) without affecting any legitimate code and to write malware signatures for our products.
Ability to write and read PHP, regular expressions, cron jobs, and JavaScript.
Understanding of all major vulnerability types and the ability to explain them to a customer in terms they can understand.
Ability to analyze log files and determine how an intrusion occurred.
Certifications in penetration testing or forensics are a strong plus.
Assist other teams during downtime.

 

Hiring Process

We review all applications submitted and respond to all candidates usually within one to two weeks.

Please fill in the form provided in this application. The hiring team will look at this first. The way you answer our form will determine if your application moves to the next step. Please note that we read every answer and this form is a critical part of our hiring process.
Candidates who appear to have the right skills from the initial application will be sent a more detailed Assessment Test to further assess skills.
Candidates who successfully pass the Assessment Test will be invited to participate in a series of phone interviews. We are respectful of your time and keep the number of interviews you will need to attend to a minimum. This is usually two or three interviews. All interviews are done remotely with no travel involved.
All contracts and offers of employment are contingent on the successful completion of a background check. The results of the background check are considered as they relate to the position and do not automatically disqualify someone from a contract or employment with the company.
All positions require a trial period of approximately 2-3 weeks with a minimum commitment of 10 hours per week. You will be paid for this short-term contract, and it will be used to evaluate whether both parties want to pursue an ongoing, regular employment relationship.
Benefits

Full-time telecommuting with a company that has been 100% remote for over 8 years.

 
Diversity at Defiant

We value diversity and do not discriminate based on race, color, religion or creed, national origin or ancestry, sex, age, physical or mental disability, military or veteran status, gender identity or expression, marital status, sexual orientation, political ideology, economic status, parental status, or any other non-performance-related status.",https://weworkremotely.com/remote-jobs/defiant-inc-security-analyst-for-infected-websites-contract,See Job Description,https://weworkremotely.com/company/defiant-inc,https://we-work-remotely.imgix.net/logos/0171/1800/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,35
Billing Representative,Clipboard,California,Posted 6 days ago,"Nov 21th, 2025",Full-Time,All Other Remote,Anywhere in the World,N/A,"Featured, Full-Time, Anywhere in the World","Why Clipboard Exists:

We exist to lift as many people up the socioeconomic ladder as possible. We dramatically improve lives by letting professionals turn extra time and ambition into career growth and financial opportunity. We achieve this with our app-based marketplace that connects workplaces and professionals, allowing professionals to book on-demand shifts and workplaces to access on-demand talent.

About Clipboard:

Clipboard is a fast-growing Series C marketplace. We are a leader in our Long Term Care vertical and are expanding into several others (Dental Offices, Schools, etc). 


We are a YC Top Company with a global, remote team of 700+ people. We have been profitable since 2022, and fill millions of shifts annually at partner workplaces across the US, where tens of thousands of professionals work with us every year.
We are looking for your help to keep growing so we can serve more professionals and workplaces.


To learn more about us, take a look at our website here.","About the Role

The Collections team under Billing is responsible for collecting payments from workplaces (e.g., healthcare facilities). The Billing Representative (BR) is responsible for ensuring that the assigned workplaces pay their invoices quickly and on time. Cash is the lifeline of any company. This is a very critical role to ensure that the cash flows for the company are smooth. The BR will reach out to the workplaces through phone and email to follow up on payments, get a commitment of payment (""promise to pay""), and ensure that the workplaces honor these commitments. The BR will work with the workplaces and the respective internal teams to ensure any roadblocks in collecting the payments are removed. The role would require a cross-functional collaboration with Billing Disputes, Sales, Customer Support, and other teams to achieve the desired goals.

Responsibilities:
Monitor accounts to identify outstanding debts
Review previous data for each debt or bill
Call and email accounts payable contacts, administrators, and others as needed to ask about their overdue payments and upcoming dues
Identify the root cause of non-payment
Resolve billing concerns
Report on collections update and accounts receivable status
Communicate with the sales department to maintain accurate and updated information on client contract and other information
Maintain a logs of calls and record any payment updates from the customer
Receive new workplace assignments to start contacting the customer to set the relationship up for success, including simply introducing yourself and collect the right information
Identify critical accounts and endorse them to managers as needed for proper escalatory measures
Build relationships with the workplaces (properly set expectations about our billing policy, explain NET & Dispute Terms, etc.)
Build out SMART action plans for delinquent accounts
Aim to have a 95% collection rate on a quarterly basis
Requirements and Skills:
Professional and clear communication (verbal and written)
High attention to detail
Comfortable with math and data
Strong judgment in customer-facing decisions and live interactions
Mileage for feedback (high ""coachability"")
Ability to build relationships with customers
General professional hygiene (e.g., always on time, follows through on commitments, etc.)
Active listening
Negotiating skills
Patience and stress management
Problem-solving and critical thinking skills
Quick adaptability to changes
Preferred: experience with Google Drive suite, Slack, Salesforce, soft phone softwares like Amazon Connect
Generally, it's expected you can adapt to changes in technology
Qualifications
Open to candidates of all experience levels—what matters most is your ability to handle business customers professionally and solve problems effectively.
No specific degree required—we care about what you can do, not just what’s on your résumé.
Why Join Clipboard?
100% Remote – Always. Work from anywhere in the world.
Fast-Paced Startup Environment. Join a company that values curiosity, independence, and growth.
A Hiring Process That Rewards Skills, Not Just Experience. Every applicant gets a fair shot—our selection is based on real-world problem-solving ability, not just credentials.
Opportunity to make a significant impact with our workplace customers
System Requirements

To succeed in this role, you must have:

A reliable laptop/desktop (no Chromebooks or Linux OS).
Minimum 20 Mbps wired internet connection.
Wired headset for clear communication.
A quiet, distraction-free workspace.
Stable power and internet connectivity.
Next Steps After Application:
The application form also includes basic billing rep skill-based questions. Some questions result in automatic rejection, so please approach these with diligence – they assess your ability to handle real problems and client situations.
You will receive an email with the next steps in the process within 2 days of your application.
Check your spam folder! If you don’t see the email, make sure it hasn’t been filtered out or blocked.",https://weworkremotely.com/remote-jobs/clipboard-health-billing-representative,See Job Description,https://weworkremotely.com/company/clipboard,https://we-work-remotely.imgix.net/logos/0171/1946/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,1
Junior Market Analyst (Remote),Escorial Futures,Escorial Futures,Posted 6 days ago,"Nov 21th, 2025",Full-Time,All Other Remote,Anywhere in the World,N/A,"Featured, Full-Time, $50,000 - $74,999 USD, Anywhere in the World","Escorial is an international analytical and trading company that specializes in market research, financial data analysis, and strategic decision-making in digital asset markets.
We combine technology, data, and human expertise to identify high-potential trading opportunities and support sustainable portfolio growth.","Escorial is an international analytical and trading company that specializes in market research, financial data analysis, and strategic decision-making in digital asset markets.
We combine technology, data, and human expertise to identify high-potential trading opportunities and support sustainable portfolio growth.

We are currently expanding our analytical division and looking for a motivated Junior Market Analyst / Assistant Trader to join our remote team.

The Offer

Fully remote position — work from anywhere
Flexible schedule that adapts to your lifestyle
Comprehensive training and mentorship program
Real career growth within a fast-growing trading company
Work directly with experienced analysts and traders

Your Role

Monitor, analyze, and interpret financial data and trading signals provided by the analytical department.
Work closely with senior analysts and traders to evaluate market conditions and identify potential opportunities.
Participate in decision-making on trading operations based on real-time analytics and market sentiment.
Evaluate results of executed strategies and prepare performance reports.
Actively learn from mentors, applying received knowledge in practice to strengthen analytical and trading skills.

Ideal Candidate

Strong interest in cryptocurrency, financial markets, or data analytics.
Excellent analytical and critical-thinking skills.
Detail-oriented, organized, and comfortable with data processing.
Self-motivated and proactive in a remote working environment.
Open to feedback and continuous professional growth.
No prior trading experience required — full training will be provided.",https://weworkremotely.com/remote-jobs/escorial-futures-junior-market-analyst-remote,See Job Description,https://weworkremotely.com/company/escorial-futures,https://we-work-remotely.imgix.net/logos/0171/2181/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,1
"English AI Tutor - Writer (Freelance, Remote)",TrainBrain,Seattle,Posted 9 days ago,"Nov 18th, 2025",Contract,All Other Remote,N/A,$18-$27,"Featured, Contract, 🇦🇬 Antigua and Barbuda, 🇦🇷 Argentina, 🇦🇺 Australia, 🇧🇧 Barbados, 🇧🇸 Bahamas, 🇧🇼 Botswana, 🇨🇦 Canada, 🇨🇭 Switzerland, 🇩🇰 Denmark, 🇫🇮 Finland, 🇬🇧 United Kingdom of Great Britain and Northern Ireland, 🇮🇪 Ireland, 🇮🇳 India, 🇰🇳 Saint Kitts and Nevis, 🇲🇾 Malaysia, 🇳🇱 Netherlands, 🇳🇴 Norway, 🇳🇿 New Zealand, 🇵🇭 Philippines, 🇵🇱 Poland, 🇺🇦 Ukraine, 🇺🇸 United States of America, 🇿🇦 South Africa, 🇿🇼 Zimbabwe",,"Are you a language professional with a passion for clarity and precision? TrainBrain is seeking talented English writers, editors, and communicators for a unique project focused on training the next generation of AI models.

In the role of an AI Tutor, you will be at the forefront of AI development. This position goes beyond standard content creation; you will be responsible for creating instructional text that teaches artificial intelligence reasoning, logic, and factual accuracy. 

Day-to-day responsibilities may include:

Developing and writing original, well-researched responses according to specific project guidelines.
Maintaining a high standard of quality and consistency by adhering to established style guides.
Partnering with our quality assurance team to review, refine, and perfect content.
How to Get Started

The application process is straightforward. Apply today to see if you qualify. If selected, you can begin contributing to meaningful projects that fit your personal schedule.

Who We're Looking For
Candidates who are professionals in diverse fields.
Individuals with an exceptional, proficient command of the English language (C2 or equivalent).
Quick learners with the ability to adapt to new tasks, switch between different topics, and work with complex project guidelines.
This is a fully remote freelance position. You will need a reliable laptop, a stable internet connection, and the enthusiasm to tackle new challenges.
Why Join Us?
Ultimate Flexibility: This part-time, remote freelance role is designed to complement your existing academic or professional commitments.
Build Your Portfolio: Gain hands-on experience in the cutting-edge field of AI, adding a unique and valuable skill set to your resume.

Make a Real Impact: Play a direct role in shaping the future of AI communication, ensuring it is responsible, accurate, and beneficial for everyone.

Compensation: $18-$27 payable weekly through PayPal.",https://weworkremotely.com/remote-jobs/trainbrain-english-ai-tutor-writer-freelance-remote-1,See Job Description,https://weworkremotely.com/company/trainbrain,https://we-work-remotely.imgix.net/logos/0171/1598/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,2
Student Representatives,EDUopinions,Andorra,Posted 9 days ago,"Nov 18th, 2025",Contract,All Other Remote,Anywhere in the World,N/A,"Featured, Contract, Anywhere in the World","EDUopinions is an independent platform that helps future students pick the right studies for them. Prospective students can read unbiased reviews about universities and other institutions, and benefit from free academic consulting. Reviews are also read by schools that wish to manage their digital reputation and act on students' feedback.","Thousands of people across the world come to EDUopinions to research schools every day. It’s where they get advice, inspiration, and plan for what matters most. Our mission is to help those prospective students find their ideal schools and create their dream futures. In your role, you’ll be challenged to take on work that upholds this mission and pushes EDUopinions forward.


EDUopinions is looking for Student Ambassadors who want to gain invaluable social media marketing and content creation experience. Being an EDUopinions Ambassador means representing EDUopinions and creating an authentic experience for our audience – prospective students looking for university rankings and reviews.


The Ambassador Program is responsible for bringing honest student reviews to the EDUopinions platform by creating social networking and student outreach campaigns to achieve database objectives. Our goal is to build an inclusive and diverse online student community that provides advice and feedback regarding the university experience at different higher education institutions around the world.


An EDUopinions Ambassador will work alongside the Reviews Manager and other student ambassadors, getting exposure in social media campaign strategy and user-generated content creation and gaining firsthand experience in a remote start-up environment. This is a contract role.


Responsibilities

Think creatively about new ways to engage students through online and offline channels
Encourage students and alumni to share their honest opinions regarding their studies.
Provide feedback on challenges and opportunities.
Qualifications

Enjoys talking to students and grads about higher education
Experience in and understanding of social media platforms
Motivated self-starter who takes initiative
Benefits

Partners set their own schedules and are paid based on performance.
Fully remote team.
Hands-on experience with social media marketing, online networking, and campaign performance dashboard.",https://weworkremotely.com/remote-jobs/eduopinions-student-representatives-16,See Job Description,https://weworkremotely.com/company/eduopinions,https://we-work-remotely.imgix.net/logos/0081/9564/logo.gif?ixlib=rails-4.0.0&w=50&h=50&dpr=2&fit=fill&auto=compress,21
